business_name,author_name,text,photo,rating,rating_category,location,irrelevant,spam,advertisement,rant,quality_score
Haci'nin Yeri - Yigit Lokantasi,Gulsum Akar,we went to marmaris with my wife for a holiday we chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food when we first went there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,dataset/taste/hacinin_yeri_gulsum_akar.png,5,taste,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Oguzhan Cetin,during my holiday in marmaris we ate here to fit the food it s really good that the food is cheap and nice eating as much bread as you want is a big plus for those who are not satisfied without bread it is a place that i can recommend to those who will go to marmaris on july there was a small increase but even the price hike is cheap i leave the photo of the latest prices and breakfast below there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,dataset/menu/hacinin_yeri_oguzhan_cetin.png,4,menu,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Yasin Kuyu,prices are very affordable the menu in the photo cost liras you have to wait minutes for food staff is annoying well it tastes good boiled meat was delicious,dataset/outdoor_atmosphere/hacinin_yeri_yasin_kuyu.png,3,outdoor_atmosphere,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Orhan Kapu,turkey s cheapest artisan restaurant and its food is delicious,dataset/indoor_atmosphere/hacinin_yeri_orhan_kapu.png,5,indoor_atmosphere,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Ozgur Sati,i don t know what you will look for in terms of price performance point taste but yigit restaurant writes a big plus for those who come to work in this region,dataset/menu/hacinin_yeri_ozgur_sati.png,3,menu,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Arda Karaca,generally good,dataset/indoor_atmosphere/hacinin_yeri_arda_karaca.png,4,indoor_atmosphere,restaurant,1.0,0.0,0.0,0.0,0.75
Haci'nin Yeri - Yigit Lokantasi,ÃÂÃÂ°rem Eren,what you see is tl in total it s a pretty convenient place we can say that it is an artisan restaurant you should not expect a restaurant but they are still quite good in terms of price and performance as of july prices will increase,dataset/taste/hacinin_yeri_irem_eren.png,5,taste,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Nadia Salim,delicious food at rock bottom prices friendly staff highly recommend,dataset/taste/hacinin_yeri_nadia_salim.png,5,taste,restaurant,0.0,0.0,0.0,0.0,1.0
Haci'nin Yeri - Yigit Lokantasi,Mehmet Eser,every time i go i still experience the amazement i experienced years ago as if it were the first time there is no need to explain folk hero is a business,dataset/outdoor_atmosphere/hacinin_yeri_mehmet_eser.png,5,outdoor_atmosphere,restaurant,1.0,0.0,0.0,0.0,0.75
Haci'nin Yeri - Yigit Lokantasi,Celal Ozer,the most f p of all businesses i ve seen,dataset/indoor_atmosphere/hacinin_yeri_celal_ozer.png,5,indoor_atmosphere,restaurant,1.0,0.0,0.0,0.0,0.75
Haci'nin Yeri - Yigit Lokantasi,Onur Celebi,the food was just like the ones my mother made prices were reasonable,dataset/taste/hacinin_yeri_onur_celebi.png,5,taste,restaurant,1.0,0.0,0.0,0.0,0.75
Pizza Fellas,Kadir Tasci,the ambiance of the place is nice when we went there was a lot of queue and after waiting for a while they took our place the friend who took our order said half a half pizza and we preferred half chicken and half steak two people were easily satisfied a lot of patterns,dataset/indoor_atmosphere/pizza_fellas_kadir_tasci.png,5,indoor_atmosphere,restaurant,0.0,0.0,0.0,0.0,1.0
Pizza Fellas,Serkan Colak,flavor it has nothing but dough taste labor not befitting a touristic place service there was no wet wipes and napkins on the table but there was no sympathetic family to say this service and this taste were not available at this price,dataset/taste/pizza_fellas_serkan_colak.png,2,taste,restaurant,0.0,0.0,0.0,0.0,1.0
Pizza Fellas,Selim Cun,it is in the center easy to reach close to the parking lot the prices are partially affordable the products are delicious but not quite satisfying the seating places are cramped the place is a little flat,dataset/indoor_atmosphere/pizza_fellas_selim_cun.png,4,indoor_atmosphere,restaurant,0.0,0.0,0.0,0.0,1.0
Pizza Fellas,Zeki Celik,they make delicious pizza with nice ingredients on thin dough slice pizza and all pizza options are available you can try two different flavors as a whole by making two different choices for the whole pizza we wanted the mushroom and sausage it was very nice warm and it was cooked in its consistency without drying the ingredients,dataset/outdoor_atmosphere/pizza_fellas_zeki_celik.png,5,outdoor_atmosphere,restaurant,1.0,0.0,0.0,0.0,0.75
Pizza Fellas,Mustafa Caliskan,it s in a nice place but it s very small and their pizza is not that good to be exaggerated pizza dough is nice and thin they do not offer advice to the customer,dataset/taste/pizza_fellas_mustafa_caliskan.png,3,taste,restaurant,0.0,0.0,1.0,0.0,0.75
